"","cDC1","cDC2","pDC","Eos","Mon","Neu","B","T","MouseID","Group","Mouse","HSPC","Day","barcode","n.cDC1","n.cDC2","n.pDC","n.Eos","n.Mon","n.Neu","n.B","n.T","biomass","filter","p.cDC1","p.cDC2","p.pDC","p.Eos","p.Mon","p.Neu","p.B","p.T","bin","bin_bias","umap1","umap2","fate","umap1d","shannon","simpson","group","norm.biomass"
"1",7400.97766001188,0,0,0,0,0,0,0,"ProDC_Day9_497","ProDC_Day9",497,"ProDC","Day9",15,14.3663278541733,0,0,0,0,0,0,0,14.3663278541733,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-18.7308881044673,12.9675996256551,"cDC1",64.6669699117625,0,0,"True",14.3663278541733
"2",2802.01623342013,0,0,0,0,0,0,0,"ProDC_Day9_497","ProDC_Day9",497,"ProDC","Day9",23,5.43910354972816,0,0,0,0,0,0,0,5.43910354972816,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-19.7286358012158,11.4730759762477,"cDC1",65.9632796020856,0,0,"True",5.43910354972816
"3",1461.92151308877,0,0,0,0,0,0,0,"ProDC_Day9_497","ProDC_Day9",497,"ProDC","Day9",26,2.83779315637993,0,0,0,0,0,0,0,2.83779315637993,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-16.7815210829219,11.5523387203675,"cDC1",65.879892415097,0,0,"True",2.83779315637993
"4",0,0,0,0,0,116.487663956387,0,0,"ProDC_Day9_497","ProDC_Day9",497,"ProDC","Day9",27,0,0,0,0,0,0.77789908743564,0,0,0.77789908743564,TRUE,0,0,0,0,0,1,0,0,"0-0-0-0-0-0-0-1",1,17.6058824736183,2.69825402160897,"Neu",38.226757452547,0,0,"True",0.77789908743564
"5",0,8702.0540381359,0,0,0,0,0,0,"ProDC_Day9_497","ProDC_Day9",497,"ProDC","Day9",48,0,3.37910008932342,0,0,0,0,0,0,3.37910008932342,TRUE,0,1,0,0,0,0,0,0,"0-1-0-0-0-0-0-0",1,-9.1295262513408,27.1675167102431,"cDC2",53.8751628207572,0,0,"True",3.37910008932342
"6",1142.1261821006,0,16512.2324574513,0,0,0,0,0,"ProDC_Day9_497","ProDC_Day9",497,"ProDC","Day9",57,2.21702590342181,0,12.6013292748349,0,0,0,0,0,14.8183551782567,TRUE,0.149613494666055,0,0.850386505333945,0,0,0,0,0,"1-0-1-0-0-0-0-0",2,-2.90273828968667,13.8150665919888,"cDC1.pDC",1.48843713240844,0.239691744591461,0.121016889869376,"True",7.40917758912835
"7",0,0,1684.73682780359,0,1369.25094766579,0,0,0,"ProDC_Day9_497","ProDC_Day9",497,"ProDC","Day9",62,0,0,1.28570885634629,0,2.44727959181909,0,0,0,3.73298844816538,TRUE,0,0,0.344418118137539,0,0.655581881862461,0,0,0,"0-0-1-0-0-0-1-0",2,-0.791615604380934,11.4065583688391,"pDC.Mon",-2.98244557071659,0.687801902254788,0.494664252504372,"True",1.86649422408269
"8",822.330851112431,14061.6947655157,0,0,0,0,0,0,"ProDC_Day9_497","ProDC_Day9",497,"ProDC","Day9",77,1.5962586504637,5.46030555888978,0,0,0,0,0,0,7.05656420935349,TRUE,0.226209044955314,0.773790955044686,0,0,0,0,0,0,"1-1-0-0-0-0-0-0",2,-7.68292456330648,16.1634184682903,"cDC1.cDC2",10.680797550304,0.213690354034572,0.104393492797264,"True",3.52828210467674
"9",2588.81934609469,0,18876.2986513048,0,0,0,0,0,"ProDC_Day9_497","ProDC_Day9",497,"ProDC","Day9",97,5.02525871442277,0,14.4054691216435,0,0,0,0,0,19.4307278360662,TRUE,0.258624316948908,0,0.741375683051092,0,0,0,0,0,"1-0-1-0-0-0-0-0",2,-3.893305029743,13.4933237107241,"cDC1.pDC",0.964690048833472,0.368130420073125,0.212120196399399,"True",9.7153639180331
"10",0,3872.48766840904,0,0,0,0,0,0,"ProDC_Day9_497","ProDC_Day9",497,"ProDC","Day9",103,0,1.50372812773614,0,0,0,0,0,0,1.50372812773614,TRUE,0,1,0,0,0,0,0,0,"0-1-0-0-0-0-0-0",1,-6.687054739217,27.2020733850308,"cDC2",54.1170729012961,0,0,"True",1.50372812773614
