cDC1,cDC2,pDC,Eos,Mon,Neu,B
69,47,35,86,197,512,2
0,0,0,0,0,0,4970
4,3,4,7,4,4,0
80,75,40,72,86,160,212
20,4,1,0,1,9,0
19,43,22,19,69,47,4343
66,85,38,89,134,224,498
0,0,0,0,0,0,818
1,0,0,0,0,0,0
0,0,0,0,0,0,30031
10,1,2,7,7,3,0
27,18,13,17,80,92,2503
15,22,19,54,168,86,9136
9,17,7,17,51,15,3724
0,0,0,0,0,0,123
9,9,0,0,0,0,0
15,34,19,37,61,14,7142
30,48,16,111,325,156,539
0,0,0,0,0,0,6883
52,23,20,22,49,123,0
122,70,22,6,21,66,0
4,0,1,4,13,11,0
16,15,1,0,0,23,2031
31,15,4,1,12,64,0
22,13,9,60,182,75,7220
14,18,18,57,230,197,2000
20,14,26,9,11,31,0
1,0,3,2,15,4,5
0,0,0,0,0,0,5365
8,5,7,7,2,0,0
5,1,0,1,8,11,4
0,0,0,0,0,0,2952
41,51,33,92,147,171,5818
6,1,4,25,81,28,1019
9,11,8,13,81,27,3707
11,25,1,4,8,18,0
0,0,0,0,0,0,11248
0,0,0,0,0,0,1415
0,0,0,0,0,0,2280
13,12,9,83,218,221,12
0,0,0,0,0,0,7776
0,0,0,0,0,0,7395
6,3,10,16,76,67,116
3,0,1,0,0,0,0
0,0,0,0,0,0,22041
22,23,8,51,227,118,911
17,7,9,33,35,76,68
1,2,3,4,38,49,3331
26,11,13,2,0,3,126
6,14,0,0,4,0,7530
7,13,20,9,24,11,2
17,19,16,18,25,11,74
16,10,11,5,27,21,2
7,2,7,14,51,60,0
2,0,0,13,3,5,0
12,17,10,21,55,26,8551
35,59,25,34,26,58,0
90,100,28,23,28,82,0
0,0,0,0,0,0,1951
21,18,14,4,17,42,0
1,0,0,0,0,1,8444
0,0,0,0,0,0,10214
17,7,11,29,63,24,4194
0,0,0,0,0,0,4342
0,0,0,1,1,2,21457
76,40,11,58,114,509,3
0,0,0,1,8,0,635
15,30,4,1,0,0,0
0,0,0,0,0,0,318
11,27,5,4,11,35,85
101,163,130,137,168,234,3373
0,0,0,0,0,0,10977
10,17,12,27,20,10,0
35,43,20,44,158,471,0
8,0,0,16,45,23,220
0,0,0,0,0,0,7325
0,0,0,0,0,0,13944
38,38,14,55,182,205,5
8,0,4,20,67,126,0
15,27,23,49,187,126,6411
0,0,0,0,0,0,5818
111,104,70,104,209,148,11384
7,5,16,7,0,0,0
21,55,19,16,45,36,514
106,93,52,137,291,724,27
27,0,2,1,0,0,0
0,1,3,2,0,0,0
16,11,22,14,42,27,0
15,26,10,19,87,78,914
0,0,0,0,8,15,0
18,39,23,68,114,78,490
73,50,44,91,123,202,340
6,5,6,3,0,0,0
95,55,6,0,0,17,0
0,0,0,0,0,0,747
9,17,5,12,4,3,1940
29,78,58,54,63,52,4467
0,0,0,0,0,0,7991
73,9,26,24,33,50,0
3,2,4,11,7,29,0
15,23,4,11,25,32,8885
51,36,23,72,153,229,180
7,21,9,8,72,22,3748
11,34,17,12,16,9,2669
3,11,1,0,0,0,0
0,0,0,0,0,0,5943
185,148,87,252,762,927,1491
0,0,0,0,0,0,23133
17,30,7,32,94,41,2686
0,0,1,6,0,0,0
0,0,0,0,0,0,10631
43,77,36,34,63,55,1590
11,17,7,18,39,32,0
3,5,10,3,0,0,0
19,28,14,19,19,15,0
8,12,13,2,0,5,129
5,10,10,2,2,24,68
36,33,9,40,82,204,337
0,0,0,0,0,0,1780
7,0,0,0,0,0,0
12,21,7,6,6,35,92
6,9,13,31,75,32,0
30,72,46,23,5,32,125
0,0,0,0,0,4,2342
41,19,10,118,522,1191,20
5,37,10,26,69,66,121
72,107,44,26,43,157,1
0,0,0,0,12,1,22827
30,18,23,60,108,99,666
0,0,0,0,0,0,1545
48,49,13,22,92,73,2234
8,11,3,33,102,59,72
42,32,23,36,135,247,44
0,0,0,0,0,0,7107
68,108,46,69,138,87,19112
7,2,1,4,21,7,24
50,24,28,70,213,111,14700
17,9,2,0,0,0,0
0,0,0,0,0,0,11488
11,4,15,14,13,3,0
37,10,18,73,189,269,21
97,96,40,139,273,653,216
0,1,1,0,0,0,0
1,6,4,1,1,0,0
15,14,7,33,84,61,602
69,138,42,49,46,63,0
21,11,14,37,69,37,2568
141,96,68,190,571,705,134
35,71,13,24,48,59,2
13,0,2,14,13,19,0
109,56,45,121,217,319,174
39,18,13,12,19,87,0
35,50,26,43,102,124,12682
0,0,0,0,0,0,13424
0,0,0,0,0,0,6073
0,0,0,0,0,0,20388
1,1,0,1,9,4,3
26,40,25,14,20,53,121
15,25,14,20,77,47,288
0,0,0,0,0,0,23863
2,0,0,4,7,3,0
0,0,0,0,0,0,6931
36,28,40,16,3,5,0
22,26,3,16,8,66,0
61,60,33,94,265,218,16702
42,73,34,19,19,17,30
0,0,0,1,18,0,3943
24,37,8,8,16,48,0
1,1,1,12,13,16,56
4,1,3,1,0,13,0
0,0,0,0,0,0,11652
12,7,13,12,27,6,14509
0,0,0,0,0,0,210
7,9,6,16,36,23,781
0,0,0,0,0,0,7178
0,0,0,0,0,0,28103
7,1,1,2,1,9,0
43,48,63,49,114,93,24
1,3,1,0,0,0,0
12,9,1,1,0,1,0
0,0,0,0,0,0,50
21,15,14,19,27,29,0
28,30,30,39,68,72,2355
23,21,13,37,121,103,521
42,49,46,105,152,117,13276
42,30,13,50,10,15,0
58,66,25,41,106,108,7037
0,0,0,0,0,0,808
0,0,0,0,0,0,412
0,0,0,0,0,0,13772
60,72,34,15,36,107,0
5,11,0,3,39,31,5004
13,3,11,17,1,1,0
75,58,25,51,183,322,60
