cDC1,cDC2,pDC,Eos,Mon,Neu,B
0,0,0,0,0,0,2736
0,0,0,0,0,0,536
0,0,0,0,0,0,1187
1,3,0,2,6,0,851
0,0,0,0,0,0,23
1,0,0,6,8,0,0
0,0,0,0,0,0,475
0,0,0,0,0,0,447
0,0,7,0,0,0,0
0,0,0,0,0,0,117
2,1,1,7,53,9,38
5,0,2,0,5,2,458
0,0,0,0,0,0,56
0,0,1,2,2,4,0
17,15,13,29,48,154,18
1,1,0,1,1,5,0
5,9,0,2,9,72,0
0,0,0,0,4,7,0
0,13,6,2,0,0,0
10,2,1,0,0,0,0
0,0,0,0,0,0,693
0,0,1,0,0,0,0
7,0,5,8,42,13,0
14,29,12,3,0,7,139
9,0,3,1,1,0,0
3,0,13,0,0,0,0
4,13,5,0,9,2,1575
0,0,0,0,0,0,2705
17,0,2,5,26,33,0
0,0,0,0,0,0,453
0,0,0,0,0,0,472
3,4,0,0,2,38,0
0,0,0,0,0,0,659
0,0,0,0,0,0,243
0,0,0,0,0,0,184
0,0,0,0,0,0,268
0,0,0,0,0,0,514
0,0,0,0,0,0,292
6,1,2,1,0,0,0
0,0,0,0,0,0,434
4,2,1,3,16,19,442
4,4,1,0,2,13,0
0,0,0,0,0,0,184
0,1,0,0,0,0,0
0,0,0,0,0,0,191
11,3,5,0,6,5,0
0,0,0,0,0,0,33
0,0,0,0,0,1,0
10,2,3,0,0,3,0
34,2,1,4,20,38,2
0,0,0,0,0,0,48
0,0,0,0,0,0,832
3,2,0,11,54,127,0
0,1,0,0,0,2,498
9,0,1,0,0,0,0
0,0,0,1,0,0,24
0,0,0,0,0,0,945
3,0,0,1,0,0,165
0,0,1,0,0,0,0
0,0,0,0,0,0,172
13,0,0,0,0,0,0
1,1,3,0,0,1,0
6,21,2,1,0,0,0
0,0,0,0,1,0,759
0,1,0,0,0,0,0
0,0,0,4,31,1,0
0,0,0,0,0,0,328
0,0,0,0,0,0,528
0,1,0,0,0,0,0
1,1,5,4,1,5,0
4,0,0,0,0,0,2
0,0,0,0,1,0,124
0,0,0,0,0,0,1784
0,0,0,0,0,0,333
7,6,5,1,44,17,1631
1,0,1,1,11,31,40
0,0,0,0,0,0,8
0,20,0,0,2,13,0
1,22,4,0,1,13,0
0,0,0,0,0,0,46
0,0,0,0,0,0,182
0,0,0,0,4,0,1038
0,0,0,0,1,0,0
0,0,0,0,0,0,2492
0,0,0,0,0,0,655
1,2,0,0,0,0,0
0,0,0,0,0,0,208
1,0,0,0,0,0,0
0,0,0,0,0,0,273
4,10,5,2,19,16,1477
25,33,14,5,0,1,0
15,0,0,0,0,0,0
4,4,1,3,2,2,0
0,3,0,0,0,2,122
0,0,0,0,6,0,1218
37,46,23,4,5,14,0
6,1,0,0,0,0,0
4,2,5,16,230,82,3
0,0,0,0,0,0,218
0,0,0,0,0,0,443
14,5,1,11,50,64,15
0,1,0,2,13,1,0
0,0,0,0,0,0,129
1,6,5,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,2133
0,0,0,0,0,0,68
0,0,0,0,5,1,0
0,0,0,0,0,0,1576
3,3,2,14,102,35,0
0,0,2,0,0,0,787
6,4,4,5,23,31,4
2,5,0,0,0,2,0
1,0,0,2,17,8,1199
0,0,0,1,12,1,133
0,0,0,1,1,0,0
0,0,0,0,0,0,65
1,1,0,5,6,44,0
0,0,0,0,0,0,1707
0,3,1,0,0,2,0
18,16,3,0,1,0,0
0,0,0,0,0,0,61
3,1,0,0,0,0,0
0,0,0,0,0,0,425
2,2,0,9,25,51,5
0,0,0,0,0,0,571
0,0,0,0,0,0,638
1,0,0,0,0,0,0
0,0,0,0,0,0,84
3,9,0,1,12,3,0
0,0,0,0,0,0,940
0,1,3,4,23,4,587
6,0,0,0,0,0,0
4,1,0,6,6,32,0
0,0,0,0,0,0,5091
0,0,0,0,4,0,97
6,9,2,7,4,35,3
0,3,2,4,0,0,0
0,0,0,0,0,0,1259
2,2,4,3,7,8,0
3,6,1,6,10,44,9
4,2,1,3,16,15,2503
1,0,0,4,2,1,0
0,4,0,1,0,0,10
0,0,0,0,6,10,48
0,3,1,2,56,13,651
0,0,0,3,18,1,3
1,2,1,2,19,3,1016
5,0,2,0,0,0,0
4,1,1,8,12,45,0
0,1,0,0,0,0,0
0,0,0,0,0,0,55
0,0,0,0,0,0,141
17,24,5,15,37,143,3
15,24,4,37,104,67,331
0,0,1,0,0,0,0
0,0,0,0,0,0,1620
0,0,0,0,0,0,121
0,3,2,0,5,1,484
2,7,3,0,0,0,0
1,0,0,4,1,0,0
1,0,0,0,0,0,0
4,1,3,2,6,11,0
0,0,0,0,0,0,623
22,31,8,10,9,25,57
0,0,0,0,0,9,0
0,1,0,1,16,4,0
15,40,6,5,11,14,84
0,0,0,0,0,0,515
0,0,0,0,0,0,119
0,14,1,0,0,0,0
7,31,13,3,1,8,0
0,4,2,0,2,0,0
