cDC1,cDC2,pDC,Eos,Mon,Neu,B
6,15,3,0,0,1,0
19,19,9,15,97,214,512
18,36,8,15,68,161,9
0,0,0,0,0,0,431
1,3,0,1,6,3,4321
0,0,0,0,0,0,3590
1,2,4,4,0,0,0
32,11,9,36,16,49,0
0,0,0,1,9,0,1910
13,13,7,23,40,114,0
20,1,7,10,20,58,0
0,0,0,0,0,0,2813
3,6,3,7,22,15,99
15,19,2,1,0,2,0
14,15,4,16,34,42,1896
7,15,11,0,3,0,0
1,1,0,0,0,0,0
7,0,0,0,0,0,0
25,0,5,1,0,10,0
2,14,11,5,3,19,0
14,2,3,20,122,104,0
12,10,5,36,100,205,0
11,26,10,28,30,80,0
3,2,2,0,0,0,0
12,6,6,12,26,91,14
5,0,2,10,29,62,0
25,29,15,40,15,37,26
1,0,0,0,0,0,0
0,0,0,0,0,0,8780
32,20,4,13,28,154,0
11,8,2,7,2,17,0
0,2,1,1,7,0,1118
12,4,2,0,4,13,0
23,6,12,29,107,35,6559
20,43,14,22,6,19,0
1,2,2,1,5,29,0
2,0,2,1,0,0,0
2,0,2,24,8,12,0
9,4,0,4,8,11,213
3,9,4,11,17,18,3467
13,5,9,5,1,5,0
0,0,0,0,0,0,1120
19,12,3,10,23,66,1
0,0,0,0,0,0,4341
3,4,4,1,1,1,203
0,0,0,0,0,0,2503
4,5,1,21,152,173,0
0,0,1,11,3,3,0
12,18,7,22,47,58,4717
1,0,1,4,12,5,0
5,2,3,1,1,13,32
3,4,4,12,38,5,3
0,0,0,0,0,0,394
3,0,0,0,5,0,1205
2,18,9,1,3,6,181
0,0,0,0,0,0,4
0,9,3,0,0,0,0
1,0,1,8,10,11,3387
0,0,0,0,0,0,4999
1,11,0,0,4,2,70
18,19,6,9,15,18,1
1,1,0,1,21,2,1
2,0,1,0,0,0,0
0,9,9,6,1,0,0
0,0,0,0,0,0,2480
0,0,0,0,0,0,292
0,4,0,1,1,0,228
1,0,1,3,4,0,0
0,0,0,0,1,0,1300
1,1,1,0,3,0,3717
3,1,0,5,35,10,105
5,5,1,2,1,20,0
0,0,0,0,0,0,148
5,26,1,2,2,28,0
3,32,1,6,46,119,0
3,31,3,3,12,9,0
0,0,2,6,3,0,4591
24,74,2,0,1,4,0
0,0,0,0,0,0,2378
4,3,1,13,12,22,0
19,69,6,5,6,0,0
0,0,0,0,0,0,2076
1,0,3,22,72,56,3
13,4,3,2,0,0,0
4,0,6,5,18,8,610
7,12,5,24,19,14,64
3,0,1,4,10,26,149
0,3,2,2,9,10,3753
4,0,0,0,0,0,0
0,0,0,0,0,0,1242
24,8,8,17,59,118,3
0,0,0,0,0,0,293
0,0,0,0,0,0,87
1,0,0,2,0,0,0
0,0,0,0,0,0,2547
0,0,0,0,4,0,0
1,0,0,1,0,0,0
0,0,0,0,0,1,1639
16,14,0,2,16,18,38
0,0,0,0,0,0,462
7,9,11,9,0,2,0
3,2,6,16,14,6,0
29,43,13,11,44,91,3
0,0,0,0,0,0,158
1,0,0,4,24,25,1
12,7,11,3,1,13,0
0,0,0,0,0,0,4986
13,18,10,31,22,118,215
1,3,0,1,2,22,0
2,7,4,0,5,4,0
6,8,4,2,17,9,716
1,1,0,6,13,15,10
0,0,0,0,0,0,4488
14,6,6,2,3,35,344
0,0,0,0,0,0,873
7,3,8,27,176,527,1
23,4,1,10,5,7,1
0,0,0,0,0,1,0
0,0,0,0,0,0,1122
8,2,1,5,4,0,0
31,22,18,35,58,101,1
0,9,2,1,0,6,355
6,2,3,9,1,3,931
0,0,0,0,0,0,2767
0,8,1,5,39,7,84
3,1,4,19,11,27,0
0,0,0,0,0,0,188
4,4,1,1,0,1,1
9,27,6,10,104,43,229
0,0,0,0,0,0,265
23,26,7,17,31,80,3
7,0,0,0,0,0,0
7,8,6,21,28,43,239
25,26,10,16,7,29,182
0,0,0,0,14,0,0
35,79,13,15,2,1,0
36,11,1,49,228,711,0
8,0,1,0,0,0,0
55,41,10,10,22,105,0
0,1,1,0,0,0,0
2,2,1,0,0,0,0
0,0,0,0,0,0,2504
0,0,1,0,0,0,0
32,24,6,6,1,7,0
0,0,0,0,0,0,3688
