cDC1,cDC2,pDC,Eos,Mon,Neu,B
0,42,1,0,1,2,2
6,0,0,37,46,8,0
5,0,8,0,0,1,0
0,0,0,6,0,0,0
0,0,0,3,0,0,0
0,20,6,0,4,4,12269
4,10,8,2,2,3,100
0,0,0,6,0,1,0
15,3,3,23,15,51,0
0,0,0,0,0,0,57
1,10,7,4,2,11,386
0,5,0,3,4,0,0
0,0,0,1,1,0,0
3,106,3,0,5,15,0
0,44,10,0,4,3,48
36,26,16,29,25,119,37
1,6,1,15,11,9,10
24,0,0,0,1,8,0
0,0,0,0,0,0,206
6,0,0,0,0,0,0
1,1,27,0,7,24,0
0,0,0,0,0,0,1975
16,14,4,24,23,64,6
19,4,3,6,26,50,0
5,0,0,0,0,0,0
6,0,0,5,1,3,1294
18,67,1,7,40,106,0
0,10,7,1,3,4,0
13,18,25,19,18,30,1018
5,0,0,0,0,0,0
0,0,6,0,0,0,0
8,6,2,16,4,20,295
4,4,0,17,49,49,0
12,174,9,15,98,129,0
8,20,11,0,1,1,3948
23,41,9,9,58,91,0
0,0,0,0,0,0,1559
0,0,0,0,0,0,397
0,9,0,0,2,1,0
0,60,1,0,4,6,0
0,0,0,0,0,0,75
0,0,0,6,5,0,2795
0,0,0,0,0,0,2908
4,0,0,0,0,0,0
0,1,4,1,4,0,1753
10,26,2,4,20,20,0
9,0,9,0,2,7,1619
13,15,4,24,36,35,1796
0,0,0,0,0,0,1551
0,0,0,0,0,0,1135
0,7,0,0,0,0,0
0,3,6,0,0,3,1088
7,1,4,2,8,9,3619
22,23,4,14,14,27,9
0,0,0,0,0,0,1193
17,41,27,11,19,39,45
0,2,6,0,0,1,0
0,20,0,0,0,0,0
0,0,0,1,1,0,0
6,10,0,0,9,15,19
5,11,7,9,7,11,0
6,13,0,0,0,0,0
21,14,22,27,44,41,0
0,0,3,0,0,0,1072
62,19,32,65,85,184,14
4,2,6,7,15,48,0
0,0,0,0,0,0,854
0,6,0,0,15,0,0
37,22,27,27,68,168,0
2,0,2,7,2,5,0
1,0,0,0,0,1,0
9,22,14,7,4,7,123
4,2,2,8,13,34,0
0,8,9,3,1,5,1
0,0,0,0,0,0,1569
16,5,0,1,6,14,0
4,5,6,0,6,2,23
9,21,6,20,59,51,0
0,0,0,0,0,0,37
0,15,4,4,27,1,0
1,4,2,12,1,4,1
0,23,6,16,21,1,0
2,22,4,4,11,16,3
7,0,0,0,0,0,0
0,3,0,0,0,0,5251
0,0,0,7,0,1,3292
1,0,0,32,17,3,0
0,79,0,0,0,0,0
4,1,8,2,6,4,3906
0,1,1,0,7,2,866
0,0,0,0,0,0,723
13,8,2,22,37,8,0
0,0,2,6,2,6,0
0,0,0,0,0,0,21
59,60,21,20,57,147,12
0,0,0,0,0,0,1376
5,1,1,1,3,7,0
3,9,5,6,12,10,6295
17,39,24,26,16,52,6
0,0,2,1,0,4,0
0,0,0,0,0,0,2572
24,25,4,17,44,90,0
4,5,4,4,4,15,1120
2,10,0,2,23,13,0
15,89,6,6,27,21,23
0,0,0,0,0,0,1028
3,0,0,0,0,1,0
0,0,0,0,0,0,4228
6,0,0,0,0,1,1765
0,5,2,1,4,6,0
0,0,0,0,0,0,1267
17,3,3,79,73,79,0
0,29,4,3,1,3,1
0,0,0,0,0,0,696
0,0,0,0,0,0,1448
8,1,1,2,12,19,0
0,0,0,0,0,0,200
4,9,0,13,15,15,0
0,0,0,0,0,0,2554
0,2,0,0,0,0,0
1,4,0,1,5,1,667
31,12,8,17,19,90,0
0,3,0,0,3,0,0
30,49,4,59,60,116,18
0,35,0,0,0,0,0
0,0,0,0,0,0,1089
0,0,0,0,1,0,0
0,0,0,0,4,1,0
4,1,2,0,15,22,0
11,66,9,32,34,67,22
0,0,0,0,0,0,2330
8,3,2,0,1,2,2342
2,0,0,0,0,0,4834
0,0,3,0,0,0,0
46,12,8,10,15,72,145
0,0,0,0,0,0,615
0,0,1,0,0,0,251
14,10,6,10,13,41,0
5,16,0,7,13,9,242
0,5,9,2,1,3,0
13,6,9,2,1,16,0
0,0,0,0,0,0,1155
0,0,0,0,0,0,6223
0,0,0,0,0,0,795
43,3,2,13,34,49,0
0,0,0,0,0,0,2047
6,1,0,2,1,12,0
0,0,0,0,0,0,130
0,2,0,0,0,0,0
0,0,0,0,0,0,2483
0,0,0,0,0,0,1208
0,0,3,0,0,0,0
44,5,5,2,11,52,0
9,0,0,0,0,0,0
0,15,0,10,30,6,0
2,19,6,3,12,10,0
0,53,0,0,2,2,0
65,1,1,11,65,82,0
0,0,2,0,0,0,1062
0,0,2,0,0,0,9334
0,0,0,0,0,0,1385
81,76,32,54,120,241,367
